,0,1,2,3,4,5,6,7,8,9,avg
0,11566.621,11555.375,11238.946,11442.481,11629.694,11585.826,11255.387,11365.8,11833.142,11375.134,11484.8406
1,11304.108,11315.02,10928.637,11038.353,11211.266,11074.749,10935.787,11038.016,11468.353,11139.209,11145.3498
2,11113.1045,11305.175,10800.852,10882.502,11000.643,10972.364,10669.415,11054.094,11196.612,11051.12,11004.58815
3,11217.529,11034.851,11069.788,11002.645,11082.638,10933.86,10886.864,11401.54,11424.635,10948.825,11100.3175
4,11476.043,11291.764,11290.856,11598.259,11737.738,11734.833,11303.709,12002.435,11875.733,11542.391,11585.3761
5,12524.242,12139.456,12963.127,12782.513,13128.477,12914.61,12742.504,13189.347,13191.451,12839.143,12841.487
6,14190.32,13825.886,14502.553,14192.998,14344.279,14061.248,13996.641,14595.691,14761.472,13980.747,14245.1835
7,15154.404,14465.914,15824.673,15116.918,14871.799,14704.959,14846.453,15361.458,15563.898,14748.832,15065.9308
8,14985.588,14592.707,15802.318,15056.016,15018.969,14770.051,14793.684,15289.248,15795.234,14867.012,15097.0827
9,15345.381,14750.159,16410.562,14873.197,15026.396,14691.88,14577.431,15275.057,15683.404,14992.097,15162.5564
10,15402.906,14894.556,16403.402,15010.309,15080.289,14620.611,14637.857,15530.971,15739.043,14904.087,15222.4031
11,15584.807,15032.807,16295.996,14993.693,15147.152,14814.945,14673.299,15418.57,15876.826,15340.641,15317.8736
12,15328.398,15107.726,16335.684,15020.182,15095.545,14941.601,14598.966,15309.672,15976.557,15144.404,15285.8735
13,15467.432,15386.107,16084.5625,14942.705,15058.652,14863.403,14724.353,15007.949,15945.867,14902.855,15238.38855
14,15307.8125,15071.77,15635.859,15067.531,14948.881,14860.988,14619.533,15022.324,15697.898,14819.697,15105.22935
15,15754.52,14752.361,15698.099,15509.587,15225.222,15101.227,15182.757,15362.211,15687.112,15135.108,15340.8204
16,16038.883,15718.4795,16707.57,16019.997,15826.787,15743.996,15978.49,15961.582,16200.653,15955.411,16015.18485
17,16848.217,16305.814,17406.908,16540.496,16270.908,16300.949,16799.957,16597.186,17051.154,16676.873,16679.8462
18,16889.473,16281.498,17659.303,16983.236,16644.334,16343.934,17188.316,16690.816,16954.441,16817.76,16845.3111
19,16551.838,16023.803,17420.594,16629.293,16390.473,16173.993,17064.04,16638.406,16850.457,16299.619,16604.2516
20,16248.037,15682.117,16482.617,16117.172,15884.62,15570.467,16295.227,16040.942,16423.691,15859.704,16060.4594
21,15145.48,15111.332,15131.783,15269.141,15064.579,14707.714,15371.607,15211.105,15425.176,14868.596,15130.6513
22,14248.611,13841.24,14116.879,14136.625,13678.571,13510.713,14166.139,14299.498,14265.635,13780.79,14004.4701
23,13190.076,12895.012,13250.854,13067.209,12925.258,12715.119,13109.814,13422.752,13148.822,12894.709,13061.9625
24,11194.529,11187.253,10866.834,10986.909,11583.967,11482.75,10845.387,11192.059,11472.521,11099.824,11191.2033
25,11029.395,11082.946,10366.838,10786.091,11139.892,11048.941,10839.082,11117.331,11371.371,10886.857,10966.8744
26,11095.437,11207.04,10738.551,10804.155,11126.593,11106.943,10936.586,11116.382,11075.339,10867.542,11007.4568
27,11777.206,11396.3125,11435.656,11368.55,11630.2295,11467.599,11653.721,11737.798,11586.107,11225.098,11527.8277
28,12555.799,12426.789,12323.348,12873.262,13120.533,12879.133,12793.125,12981.666,12922.088,12755.559,12763.1302
29,13900.375,13813.593,14371.19,14269.43,14409.713,14208.282,14160.98,14442.067,14458.756,14206.791,14224.1177
30,15061.365,14662.553,15234.817,14959.86,14759.953,14907.512,14800.19,15237.301,15103.615,14648.1045,14937.52705
31,14999.876,14495.558,15972.292,15172.965,14778.898,14830.116,14778.805,15342.479,15174.715,14716.232,15026.1936
32,14884.988,14592.951,16109.443,15075.059,15050.742,14666.581,14397.596,15100.516,15624.007,14828.593,15033.0476
33,15424.638,14867.098,16919.918,14994.367,15149.053,14813.587,14776.513,15376.789,15799.859,14911.268,15303.309
34,15405.617,14999.564,17203.646,15118.395,15045.338,14981.176,14925.322,15667.371,15933.814,15030.979,15431.1222
35,15557.49,15197.006,16819.27,15033.529,15130.895,15069.802,14792.73,15388.607,16019.848,15056.388,15406.5565
36,15265.113,15045.805,16723.855,14934.499,15086.331,14841.324,14620.116,15335.198,16128.016,14834.733,15281.499
37,15362.687,15221.01,16249.165,14969.782,15062.668,14737.824,14660.374,15160.9375,15952.498,14670.84,15204.77855
38,15313.281,15349.235,15763.811,15492.682,15311.895,15154.966,15281.887,15492.74,16068.914,15264.334,15449.3745
39,16369.631,15726.133,16142.034,16220.754,16111.996,15821.965,16184.924,15938.703,16662.184,15865.991,16104.4315
40,16326.889,16400,17519.652,16753.42,16530.951,16337.539,16927.41,16602.861,16997.402,16367.465,16676.3589
41,16858.457,16281.072,17906.336,16537.818,16562.723,16482.48,17096.965,16598.285,17026.05,16215.006,16756.5192
42,16598.75,15988.425,17620.879,16572.99,16423,16045.492,16958.357,16558.523,16249.934,16047.113,16506.3463
43,16010.44,15507.465,17356.977,15991.197,15953.233,15644.979,16389.234,16303.57,15982.071,15433.273,16057.2439
44,15422.902,14870.509,16112.259,15157.619,14904.241,14960.078,15230.114,15374.711,15312.609,14677.404,15202.2446
45,14036.406,13831.3545,14229.818,14095.201,13884.913,14012.055,14247.396,14354.08,13987.577,13563.951,14024.27515
46,13161.369,12902.586,13684.904,13215.737,12812.082,12968.023,13036.645,13522.469,12915.272,12572.948,13079.2035
47,12730.611,12459.571,13359.201,12616.869,12399.975,12397.648,12199.148,12972.375,12331.705,12087.893,12555.4996
48,10862.078,11063.702,10317.822,10809.634,11200.465,11398.287,10617.502,11109.891,11389.299,10799.754,10956.8434
49,10893.738,11100.644,10242.718,10644.046,11203.148,11036.352,10757.935,11069.887,11426.985,10638.426,10901.3879
50,11411.18,11510.023,11147.377,10906.621,11935.789,11564.641,11278.223,11255.515,11672.406,10987.255,11366.903
51,12823.159,12460.056,12702.073,12596.783,13039.951,12473.76,12733.471,12730.813,12839.094,12298.92,12669.808
