,0,1,2,3,4,5,6,7,8,9,avg
0,10376.83,10709.436,10492.477,10612.767,10520.045,10582.293,10623.3125,10710.322,10560.644,10706.281,10589.44075
1,10000.485,10334.852,10102.838,10283.143,10056.779,10155.093,10100.896,10382.324,10154.611,10348.047,10191.9068
2,9948.135,10077.747,9775.233,10175.379,9828.876,9808.292,9869.276,10222.119,9895.521,10072.746,9967.3324
3,10072.725,10068.742,9784.889,10172.082,9774.221,9722.553,9822.014,10065.359,9838.08,10034.646,9935.5311
4,10324.351,10146.191,9716.876,10593.207,9840.352,9991.85,10052.126,10309.857,9925.302,9991.183,10089.1295
5,10964.0625,10684.635,10476.547,11433.151,10566.88,10808.059,10756.702,10750.527,10362.864,10631.025,10743.44525
6,11882.284,11610.996,11546.1875,12368.415,11607.97,12009.082,11655.557,11613.715,11317.242,11401.101,11701.25495
7,12878.359,12348.948,12407.238,12813.296,12420.01,12996.779,12346.961,12244.395,11979.034,12331.555,12476.6575
8,13358.59,12647.998,12784.289,13314.25,12635.525,13404.879,12711.207,12609.572,12437.025,12758.34,12866.1675
9,13442.343,12599.527,12695.567,13250.0625,12646.561,13440.783,12752.141,12651.496,12503.187,12737.785,12871.94525
10,13427.127,12497.463,12569.252,13132.898,12660.41,13372.881,12631.088,12463.439,12368.064,12866.955,12798.9577
11,13116.742,12381.95,12517.836,13016.959,12520.503,13198.992,12646.168,12425.83,12265.322,12791.734,12688.2036
12,12888.049,12327.982,12091.023,12875.51,12515.37,13066.385,12512.986,12322.023,12133.174,12757.93,12549.0432
13,12839.296,12185.051,12125.137,12661.757,12584.48,12892.608,12345.364,12087.196,12242.959,12678.473,12464.2321
14,12570.074,12289.371,12231.848,12809.795,12471.76,12927.139,12488.949,12119.943,12338.588,12733.825,12498.1292
15,12768.395,12619.177,12491.701,13142.859,12852.371,13214.1,12778.984,12630.896,12699.053,12919.281,12811.6817
16,13419.182,13211.208,13000.934,13752.601,13529.717,13791.33,13549.449,13317.591,13329.606,13406.083,13430.7701
17,14017.928,13947.941,13401.906,14236.866,14211.066,14296.937,14376.992,13922.674,13941.199,14011.043,14036.4552
18,14104.814,14231.641,13904.97,14491.057,14430.232,14510.932,14226.656,14108.969,13942.226,14318.178,14226.9675
19,14103.709,14192.178,13779.525,14246.844,14269.759,14305.477,13964.064,14006.432,13627.09,14233.279,14072.8357
20,13548.647,13396.922,13267.982,13546.922,13629.338,13740.553,13410.854,13397.418,13142.088,13629.748,13471.0472
21,12589.847,12552.085,12410.727,12500.262,12506.309,12787.505,12490.266,12587.328,12469.182,12677.528,12557.1039
22,11545.575,11547.791,11269.459,11359.137,11602.707,11629.768,11310.628,11668.729,11565.065,11596.789,11509.5648
23,10651.83,10634.3955,10430.459,10510.418,10895.741,10656.037,10729.843,10635.634,10667.347,10631.35,10644.30545
24,10055.811,10350.408,10146.441,10168.694,10351.292,10006.381,10229.509,10242.103,10200.654,10224.29,10197.5583
25,9964.544,10109.345,9906.917,10057.203,10020.266,9812.279,9821.4795,10013.714,9857.668,10012.364,9957.57795
26,9914.669,9972.746,9632.348,10039.34,9891.354,9715.736,9761.522,10054.934,9790.025,9900.658,9867.3332
27,10253.672,10177.972,10140.986,10426.89,9934.974,9730.393,9994.362,10145.096,9995.506,10135.613,10093.5464
28,10919.344,10676.18,10652.214,11183.981,10494.183,10351.041,10681.607,10716.112,10547.559,10596.5,10681.8721
29,11834.427,11606.504,11752.753,12225.208,11664.678,11428.116,11706.184,11353.554,11262.676,11533.693,11636.7793
30,12783.035,12343.454,12562.012,12970.596,12559.84,12549.385,12254.031,12264.588,11980.51,12188.823,12445.6274
31,13440.051,12659.191,13073.684,13221.296,12907.99,13134.615,12607.32,12605.888,12261.421,12729.379,12864.0835
32,13509.863,12524.371,13027.361,13206.693,12817.869,13191.672,12676.386,12609.008,12358.404,12824.621,12874.6248
33,13265.78,12395.787,13080.173,13155.51,12655.275,13099.265,12574.168,12584.338,12329.977,12703.363,12784.3636
34,12953.1045,12212.02,12799.254,12822.841,12697.025,12972.701,12456.975,12314.456,12254.291,12840.916,12632.35835
35,12813.982,12133.998,12637.204,12744.682,12570.68,12758.386,12498.323,12257.198,12152.665,12826.092,12539.321
36,12621.811,12184.814,12234.668,12662.697,12525.99,12769.92,12329.055,12070.814,12044.101,12837.948,12428.1818
37,12819.258,12409.677,12355.83,12695.482,12678.016,12844.498,12503.408,12137.793,12328.226,12851.086,12562.3274
38,12831.092,12658.162,12675.117,13164.924,13031.074,13290.721,12875.517,12503.57,12735.053,13091.106,12885.6336
39,13302.582,13224.952,13423.588,13632.574,13633.775,13881.322,13679.748,13296.027,13372.365,13451.897,13489.883
40,13832.969,13727.15,13838.395,14332.58,14129.824,14273.518,14306.769,13938.185,13713.1875,13926.786,14001.93635
41,14174.805,14041.555,13825.179,14577.703,14454.264,14421.258,14437.197,14119.094,13960.049,14335.125,14234.6229
