,0,1,2,3,4,5,6,7,8,9,avg
0,1094.8289,1128.2781,1090.575,1104.1172,1087.839,1086.1323,1096.5795,1095.8209,1105.5382,1106.6539,1099.6363
1,1075.5114,1082.8131,1074.4071,1086.1604,1063.3857,1072.5396,1065.1865,1065.8354,1081.75,1088.0643,1075.56535
2,1066.9874,1083.1467,1076.7949,1087.8627,1072.4492,1070.7695,1084.9991,1054.6978,1085.0032,1085.8005,1076.8511
3,1074.743,1101.8079,1073.0195,1107.7211,1115.0032,1086.3787,1091.3439,1057.2745,1083.4525,1064.1259,1085.48702
4,1144.6375,1147.2847,1133.4003,1160.0181,1145.0542,1129.8933,1133.6353,1118.6904,1136.5183,1105.01,1135.41421
5,1277.0579,1288.0535,1248.4152,1276.8629,1266.7971,1276.5747,1255.9167,1283.9175,1248.5155,1225.6488,1264.77598
6,1406.0942,1401.146,1381.1417,1429.7942,1409.6855,1440.4133,1412.852,1427.8215,1422.7336,1347.4415,1407.91235
7,1465.0376,1418.8999,1450.7686,1489.579,1465.4652,1491.4308,1469.0093,1461.405,1490.0156,1429.5309,1463.11419
8,1473.2985,1437.7231,1471.28,1498.049,1458.074,1486.7087,1454.1932,1458.8953,1496.9812,1438.2126,1467.34156
9,1472.9484,1458.7903,1456.8674,1498.5803,1478.1394,1520.7444,1463.0549,1476.8444,1495.3578,1444.3777,1476.5705
10,1481.1802,1463.2917,1480.2771,1499.9583,1469.744,1516.502,1449.4441,1460.0807,1508.3425,1448.3936,1477.72142
11,1486.2611,1447.8467,1459.5918,1489.7019,1449.2625,1498.9185,1453.2056,1454.6819,1499.4155,1450.3806,1468.92661
12,1475.6199,1443.3291,1423.1108,1467.5359,1441.4641,1505.1377,1446.52,1463.596,1493.5225,1429.8866,1458.97226
13,1460.0176,1414.2817,1420.4567,1459.0737,1437.0363,1483.0688,1439.6548,1453.1078,1472.1537,1423.155,1446.20061
14,1451.1835,1405.4133,1418.2842,1449.6985,1427.3755,1482.9956,1429.1816,1438.7761,1456.1447,1419.2615,1437.83145
15,1490.6532,1463.428,1418.2871,1500.1904,1455.1328,1502.586,1460.9728,1479.6895,1458.2017,1448.4435,1467.7585
16,1548.739,1548.1788,1520.1443,1556.5176,1501.7833,1575.328,1533.7341,1537.5603,1555.1155,1504.8104,1538.19113
17,1606.3362,1609.4963,1556.373,1582.2686,1563.3527,1629.8042,1583.8855,1588.6594,1605.2866,1566.3345,1589.1797
18,1607.4758,1582.6096,1559.7456,1581.7405,1527.2555,1587.7135,1574.7783,1587.7422,1598.6907,1557.0437,1576.47954
19,1554.0249,1545.0629,1522.757,1548.6216,1471.1681,1559.4521,1519.1422,1537.3838,1576.304,1529.1115,1536.30281
20,1473.029,1480.683,1496.9609,1494.2834,1402.4949,1488.1454,1465.0146,1459.9409,1511.048,1478.3431,1474.99432
21,1354.4285,1384.3784,1426.8208,1407.0212,1311.1102,1391.8088,1372.9087,1364.0151,1428.6702,1406.1667,1384.73286
22,1272.6929,1322.5786,1341.8784,1327.6228,1228.988,1302.4857,1281.2173,1273.5234,1338.4542,1300.4651,1298.99064
