,0,1,2,3,4,5,6,7,8,9,avg
0,1100.2756,1151.134,1095.1812,1120.5823,1146.7057,1158.7937,1124.6494,1119.3752,1104.3972,1173.4932,1129.45875
1,1079.2207,1111.6761,1072.841,1108.9768,1121.3324,1140.7722,1098.155,1094.1023,1084.5787,1139.9998,1105.1655
2,1085.8624,1110.9548,1082.3566,1111.5259,1100.3384,1117.4628,1076.9287,1096.158,1068.9878,1108.0415,1095.86169
3,1091.4426,1142.0642,1098.419,1107.665,1112.443,1113.3181,1103.1605,1118.3776,1089.079,1141.7689,1111.77379
4,1114.6675,1203.3118,1187.1902,1166.6865,1206.6516,1151.9001,1160.5154,1159.5117,1157.0734,1175.0425,1168.25507
5,1259.0757,1307.4423,1319.6697,1286.5378,1326.6992,1277.4874,1279.1312,1268.78,1302.9626,1292.9895,1292.07754
6,1417.0408,1422.2887,1408.2487,1459.188,1446.1936,1413.508,1431.3643,1425.0966,1429.8987,1451.0093,1430.38367
7,1476.0504,1487.6007,1457.4229,1504.7505,1508.3625,1497.2672,1495.3401,1505.8218,1510.4331,1504.946,1494.79952
8,1469.4543,1501.4128,1441.3367,1527.8313,1521.9124,1538.6901,1497.0114,1515.4661,1512.0465,1514.4208,1503.95824
9,1490.1675,1480.9431,1461.6166,1507.773,1512.7495,1530.551,1480.227,1533.504,1512.3586,1513.6566,1502.35469
10,1508.9856,1467.9978,1456.1362,1536.6207,1493.1796,1521.985,1496.6008,1521.1567,1513.7682,1530.677,1504.71076
11,1500.0701,1468.0566,1459.3201,1541.718,1509.853,1539.7366,1491.8479,1517.4603,1516.1482,1521.7898,1506.60006
12,1492.7628,1444.7922,1435.577,1515.5432,1525.435,1540.7273,1486.2885,1507.9844,1518.0557,1518.3196,1498.54857
13,1481.6771,1438.2618,1427.0789,1508.8451,1509.1282,1512.0278,1466.5754,1464.9216,1503.8807,1504.8231,1481.72197
14,1480.0939,1431.8501,1416.7839,1499.1926,1490.209,1500.1343,1445.2434,1475.9692,1505.1523,1489.0225,1473.36512
15,1482.4739,1444.9629,1426.9199,1542.8435,1496.1401,1542.8201,1456.4951,1493.3278,1533.2688,1486.2325,1490.54846
16,1565.3003,1516.145,1489.8292,1608.919,1550.4031,1607.0386,1526.3232,1572.5159,1582.423,1550.1644,1556.90617
17,1597.4552,1554.0818,1561.3712,1633.1182,1632.1102,1655.3357,1602.876,1625.7295,1631.507,1636.6703,1613.02551
18,1584.9188,1545.3564,1582.5369,1641.0698,1659.4653,1669.4995,1597.425,1623.258,1631.0771,1668.1018,1620.27086
19,1538.4674,1503.6514,1547.3942,1577.0232,1630.7922,1624.2598,1544.4385,1563.1406,1584.0005,1640.043,1575.32108
20,1490.1127,1457.1362,1503.5892,1535.4526,1550.646,1555.3374,1487.0642,1516.7118,1498.1721,1542.593,1513.68152
21,1407.2522,1395.6682,1401.5945,1421.8574,1478.6458,1454.5759,1403.417,1427.7231,1429.1625,1447.6829,1426.75795
22,1294.3403,1291.2979,1296.8068,1309.6296,1378.269,1333.7476,1322.1296,1334.2605,1327.8796,1329.0505,1321.74114
23,1228.4495,1222.3252,1225.3036,1241.9388,1279.3411,1241.7607,1225.8914,1261.0466,1230.3599,1274.7095,1243.11263
24,1080.963,1117.0769,1072.8495,1093.2258,1128.5757,1097.8539,1086.3882,1087.7513,1079.7139,1116.7532,1096.11514
25,1082.0587,1114.2213,1046.3867,1107.9377,1106.3389,1097.1567,1076.7545,1085.2561,1072.3436,1125.03,1091.34842
26,1089.3136,1129.6699,1068.4781,1116.6533,1095.8279,1098.7693,1072.6965,1096.9617,1061.4156,1104.3018,1093.40877
27,1122.6061,1187.3076,1168.8889,1163.3583,1154.0149,1131.1521,1126.5177,1160.52,1117.9662,1163.5905,1149.59223
28,1251.8845,1303.2826,1297.9985,1298.0762,1301.4944,1281.6705,1234.2073,1291.0471,1261.5869,1301.1044,1282.23524
29,1419.3372,1425.8203,1416.4089,1438.594,1440.4746,1449.2751,1378.6401,1423.8137,1422.8926,1469.8516,1428.51081
30,1473.052,1479.8477,1446.3723,1514.0862,1502.7443,1518.5125,1467.3237,1492.6462,1502.6603,1530.2148,1492.746
31,1473.612,1481.1233,1472.4596,1503.3354,1527.1748,1527.1178,1474.8425,1505.2871,1504.9491,1501.6177,1497.15193
32,1486.8347,1469.993,1450.758,1510.9371,1545.3262,1539.1333,1481.0043,1520.9819,1514.054,1499.6335,1501.8656
33,1492.8054,1457.4731,1453.2043,1507.6317,1552.616,1542.1921,1487.2966,1536.7571,1524.9265,1509.9086,1506.48114
34,1487.8162,1446.8547,1445.909,1512.1486,1523.1047,1518.7751,1489.1182,1495.0032,1514.2155,1513.7007,1494.66459
35,1488.3298,1437.1913,1464.1981,1509.1067,1524.5441,1520.8354,1485.8398,1487.2445,1491.928,1483.9331,1489.31508
36,1472.2681,1396.14,1446.5813,1483.6918,1525.5696,1517.7504,1476.1461,1482.043,1498.4436,1476.8387,1477.54726
37,1467.5608,1414.2451,1448.7329,1478.1963,1526.2991,1490.3186,1448.6084,1459.2202,1484.1998,1473.8452,1469.12264
38,1484.3865,1462.194,1468.1909,1506.6812,1538.5032,1520.836,1438.4014,1502.9612,1540.1901,1508.7117,1497.10562
39,1530.652,1502.3884,1498.9602,1583.7832,1575.7976,1616.4751,1478.3531,1570.479,1597.1338,1578.7673,1553.27897
40,1589.1401,1532.9163,1550.6189,1634.812,1605.5398,1667.0876,1546.4716,1624.1223,1626.9624,1635.5757,1601.32467
41,1569.5535,1519.5408,1587.6328,1608.4542,1620.521,1648.8296,1576.8732,1598.9424,1604.1857,1645.3032,1597.98364
42,1531.0254,1474.3358,1567.3676,1594.1409,1608.437,1622.4037,1547.7832,1583.4714,1581.8345,1622.4883,1573.32878
43,1481.7634,1408.1118,1484.064,1510.5739,1573.8962,1560.2502,1483.7129,1504.8577,1529.3108,1565.0513,1510.15922
44,1407.6687,1331.5625,1381.1654,1434.1016,1476.1005,1450.5308,1401.9153,1423.023,1423.3333,1438.2565,1416.76576
45,1317.601,1262.8682,1283.5508,1317.7881,1391.0757,1330.3279,1306.8282,1320.2493,1339.2123,1339.911,1320.94125
46,1214.3997,1173.4506,1207.5593,1226.4232,1291.5237,1233.7671,1248.8998,1254.5134,1236.3204,1215.6506,1230.25078
47,1171.6188,1132.6758,1159.0586,1171.0785,1239.2681,1176.7736,1178.1283,1206.8223,1190.5192,1191.887,1181.78302
48,1081.477,1093.1075,1047.2627,1078.8713,1093.6973,1088.8398,1088.9677,1063.3833,1073.1481,1108.3447,1081.70994
49,1081.0508,1110.3236,1027.453,1086.4028,1103.8566,1090.523,1108.0096,1064.477,1077.4128,1112,1086.15092
50,1128.9099,1154.6207,1074.3066,1155.915,1160.7036,1141.8,1162.2982,1117.596,1113.454,1131.1359,1134.07399
51,1263.0314,1253.5095,1243.904,1277.7947,1277.1841,1258.1349,1293.0571,1249.3328,1249.7129,1292.6913,1265.83527
52,1402.6117,1384.3568,1391.2217,1421.939,1394.8198,1430.0342,1416.9285,1417.5527,1417.3848,1426.992,1410.38412
53,1477.2932,1470.0559,1453.0009,1484.8682,1500.2141,1510.8325,1484.2571,1474.8677,1469.135,1499.2241,1482.37487
54,1478.2289,1468.4688,1422.7582,1488.9014,1496.693,1509.4504,1508.7047,1492.7809,1509.8926,1493.0706,1486.89495
55,1486.8369,1463.048,1444.6915,1487.5786,1507.77,1518.8069,1501.9932,1495.7979,1520.0583,1494.4629,1492.10442
56,1491.9872,1474.9551,1441.6973,1504.59,1515.5156,1529.112,1511.241,1501.6782,1519.061,1509.9783,1499.98157
57,1485.7026,1478.3242,1441.9932,1503.1609,1540.2986,1533.487,1496.6108,1501.1593,1522.9858,1503.565,1500.72874
58,1467.1691,1467.9421,1413.8408,1505.2341,1494.0009,1510.5183,1485.3721,1483.227,1520.0967,1508.3718,1485.57729
59,1461.5002,1457.9668,1430.0466,1489.369,1503.0552,1522.2649,1475.6865,1473.5603,1496.2991,1475.4722,1478.52208
60,1442.6045,1413.8938,1412.0731,1477.7583,1501.3253,1533.3887,1463.7664,1480.3262,1516.5874,1469.1625,1471.08862
61,1490.5361,1449.3547,1460.6959,1499.1633,1533.202,1531.8003,1481.7153,1486.4733,1519.2083,1502.1748,1495.4324
62,1545.2556,1526.7852,1519.9259,1563.451,1590.9263,1605.6648,1538.7784,1572.1641,1602.3021,1586.8906,1565.2144
63,1567.4492,1550.6084,1540.7429,1611.9646,1639.8608,1679.094,1576.398,1610.6215,1634.321,1648.0547,1605.91151
64,1548.0801,1542.108,1540.645,1616.6233,1615.5192,1658.0902,1554.1315,1599.644,1653.783,1641.1638,1596.97881
65,1525.3622,1500.9858,1530.7993,1559.8381,1578.0061,1611.7185,1549.2471,1588.866,1561.5846,1618.5872,1562.49949
66,1479.886,1445.3577,1483.1025,1521.3877,1527.0148,1534.6074,1514.5308,1527.3892,1508.1317,1564.8134,1510.62212
